,state,nativity,marital,sex,citiz,occ1,occ2,collegcred,highsch,city,YYYYMM,weight
0,1,57,1,1,1,-1,-1,2,1,12220,2024-06-01,1908.3391
1,1,57,1,1,1,-1,-1,2,1,13820,2024-06-01,14202.9948
2,1,57,1,1,1,-1,-1,2,1,19300,2024-06-01,3470.3735
3,1,57,1,1,1,-1,-1,2,1,22520,2024-06-01,6449.7369
4,1,57,1,1,1,-1,-1,2,1,26620,2024-06-01,6168.7937
5,1,57,1,1,1,-1,-1,2,1,33660,2024-06-01,14565.3425
6,1,57,1,1,1,-1,-1,2,1,33860,2024-06-01,9040.722099999999
7,1,57,1,1,1,-1,-1,2,2,12220,2024-06-01,9669.323
8,1,57,1,1,1,-1,-1,2,2,13820,2024-06-01,45173.664000000004
9,1,57,1,1,1,-1,-1,2,2,19300,2024-06-01,23569.9722
10,1,57,1,1,1,-1,-1,2,2,22520,2024-06-01,15676.918
11,1,57,1,1,1,-1,-1,2,2,26620,2024-06-01,26109.7959
12,1,57,1,1,1,-1,-1,2,2,33660,2024-06-01,15372.3643
13,1,57,1,1,1,-1,-1,2,2,33860,2024-06-01,14082.0305
14,1,57,1,1,1,10,-1,2,2,13820,2024-06-01,3140.6659
15,1,57,1,1,1,10,-1,2,2,26620,2024-06-01,1587.0003
16,1,57,1,1,1,20,-1,2,1,19300,2024-06-01,2619.3295
17,1,57,1,1,1,20,-1,2,1,33860,2024-06-01,3404.6615
18,1,57,1,1,1,20,-1,2,2,19300,2024-06-01,2408.8986
19,1,57,1,1,1,51,-1,2,2,13820,2024-06-01,2328.5036
20,1,57,1,1,1,52,-1,2,2,19300,2024-06-01,2624.8384
21,1,57,1,1,1,102,-1,2,2,13820,2024-06-01,2237.6344
22,1,57,1,1,1,110,-1,2,2,13820,2024-06-01,2651.6834
23,1,57,1,1,1,110,-1,2,2,22520,2024-06-01,3215.9744
24,1,57,1,1,1,110,-1,2,2,33660,2024-06-01,2509.2777
25,1,57,1,1,1,120,-1,2,2,13820,2024-06-01,3664.1598
26,1,57,1,1,1,160,-1,2,1,22520,2024-06-01,2509.2777
27,1,57,1,1,1,160,-1,2,2,26620,2024-06-01,2813.25
28,1,57,1,1,1,220,-1,2,2,13820,2024-06-01,2245.0831
29,1,57,1,1,1,220,-1,2,2,19300,2024-06-01,1702.3218
30,1,57,1,1,1,230,-1,2,2,26620,2024-06-01,2585.6837
31,1,57,1,1,1,230,-1,2,2,33860,2024-06-01,2145.4413
32,1,57,1,1,1,420,-1,2,2,13820,2024-06-01,2085.571
33,1,57,1,1,1,440,-1,2,1,13820,2024-06-01,3952.315
34,1,57,1,1,1,440,-1,2,2,12220,2024-06-01,2468.8933
35,1,57,1,1,1,440,-1,2,2,13820,2024-06-01,4581.1558
36,1,57,1,1,1,440,-1,2,2,19300,2024-06-01,1523.5152
37,1,57,1,1,1,440,-1,2,2,26620,2024-06-01,2058.3583
38,1,57,1,1,1,530,-1,2,2,22520,2024-06-01,2617.2212
39,1,57,1,1,1,530,-1,2,2,26620,2024-06-01,8347.7977
40,1,57,1,1,1,600,-1,2,2,13820,2024-06-01,2092.993
41,1,57,1,1,1,630,-1,2,1,22520,2024-06-01,2026.1429
42,1,57,1,1,1,705,-1,2,1,33860,2024-06-01,2222.1956
43,1,57,1,1,1,705,-1,2,2,12220,2024-06-01,3566.5453
44,1,57,1,1,1,735,-1,2,2,13820,2024-06-01,6318.4011
45,1,57,1,1,1,850,-1,2,2,13820,2024-06-01,1816.9621
46,1,57,1,1,1,1005,-1,2,2,26620,2024-06-01,3050.1282
47,1,57,1,1,1,1010,-1,2,1,26620,2024-06-01,2196.8858
48,1,57,1,1,1,1010,-1,2,2,19300,2024-06-01,2115.2472
