weight,nativity,marital,sex,citiz,occ1,occ2,collegcred,highsch,city,state,YYYYMM
4063.3439,164,2,2,1,3649,-1,2,2,19740,8,2024-06-01
4650.6281,247,1,1,1,1400,-1,2,2,41940,6,2024-06-01
4657.106,247,1,2,1,3602,-1,2,2,41940,6,2024-06-01
3245.4727,247,2,1,1,-1,-1,2,2,41940,6,2024-06-01
4902.0271,247,2,1,1,-1,-1,2,2,41940,6,2024-06-01
4873.6712,57,1,2,1,-1,-1,2,2,19100,48,2024-06-01
4541.9649,301,1,1,1,10,-1,2,2,19100,48,2024-06-01
5559.4938,57,2,2,1,-1,-1,2,2,19100,48,2024-06-01
5217.2961,57,1,2,1,2310,-1,2,2,24540,8,2024-06-01
5050.7835,57,1,1,1,2320,-1,2,2,24540,8,2024-06-01
1308.3667,57,1,2,1,3500,-1,2,2,30780,5,2024-06-01
1446.036,57,1,1,1,6260,-1,2,2,30780,5,2024-06-01
2557.4099,57,1,1,1,6355,-1,2,2,46140,40,2024-06-01
3110.8074,312,1,2,1,-1,-1,2,2,46140,40,2024-06-01
2975.3216,57,2,2,1,-1,-1,2,2,46140,40,2024-06-01
3181.4983,57,2,2,1,-1,-1,2,2,46140,40,2024-06-01
2241.2492,57,2,1,1,-1,-1,2,2,46140,40,2024-06-01
822.7344,57,1,1,1,5000,-1,1,2,46520,15,2024-06-01
659.8231,57,1,2,1,350,-1,2,1,46520,15,2024-06-01
2652.8751,57,2,1,1,7000,-1,2,2,12220,1,2024-06-01
3830.3385,332,2,1,1,2310,-1,2,2,33860,1,2024-06-01
3889.8571,332,2,2,2,-1,-1,2,2,33860,1,2024-06-01
6083.4246,57,2,1,1,-1,-1,2,2,33860,1,2024-06-01
5282.357,57,2,2,1,-1,-1,2,2,33860,1,2024-06-01
6378.2691,329,2,1,1,-1,-1,2,2,47900,24,2024-06-01
6378.2691,329,2,1,2,9130,-1,2,2,47900,24,2024-06-01
4067.767,329,2,2,1,-1,-1,2,1,47900,24,2024-06-01
6179.8173,329,2,2,1,-1,-1,2,2,47900,24,2024-06-01
3638.7377,329,2,2,1,-1,-1,2,2,47900,24,2024-06-01
3294.6766,139,2,2,1,-1,-1,2,2,37100,6,2024-06-01
3524.5926,136,2,1,1,-1,-1,2,1,37100,6,2024-06-01
2519.6065,57,1,2,1,440,-1,2,2,19300,1,2024-06-01
2178.4846,57,1,1,1,2040,-1,2,2,19300,1,2024-06-01
2948.7117,57,2,1,1,-1,-1,2,2,19300,1,2024-06-01
1629.415,57,2,1,1,-1,-1,2,2,19300,1,2024-06-01
1914.8313,57,2,2,1,-1,-1,2,2,19300,1,2024-06-01
1697.5599,57,1,2,1,-1,-1,2,2,33860,1,2024-06-01
1813.3292,57,1,1,1,-1,-1,2,2,33860,1,2024-06-01
4272.2513,57,1,1,1,-1,-1,2,1,44700,6,2024-06-01
5942.0442,57,1,2,1,3602,-1,2,1,44700,6,2024-06-01
4654.1897,303,1,2,1,20,-1,2,2,33700,6,2024-06-01
4832.1604,303,1,1,1,10,-1,1,2,33700,6,2024-06-01
3122.1671,57,2,2,1,-1,-1,2,1,46700,6,2024-06-01
4724.9088,57,2,1,1,20,-1,2,2,41860,6,2024-06-01
6607.9582,57,2,1,1,4000,-1,2,2,41860,6,2024-06-01
2687.7309,57,2,2,1,-1,-1,2,1,13820,1,2024-06-01
2026.6133,57,1,2,1,5840,-1,2,1,19300,1,2024-06-01
1981.7306,57,1,1,1,7340,-1,2,1,19300,1,2024-06-01
5605.9562,57,2,2,1,3255,-1,2,2,19740,8,2024-06-01
6999.1563,57,2,1,1,4710,-1,2,1,19740,8,2024-06-01
6251.352,303,2,2,1,3422,-1,2,1,19740,8,2024-06-01
6089.5931,57,2,1,1,7330,-1,2,1,19740,8,2024-06-01
4331.3196,303,1,1,1,1021,-1,1,2,40140,6,2024-06-01
4473.6728,303,1,2,1,2310,-1,2,2,40140,6,2024-06-01
3404.4189,57,2,1,1,-1,-1,2,1,19740,8,2024-06-01
2630.62,57,1,1,1,4461,-1,2,2,25540,9,2024-06-01
2612.0654,57,1,2,1,5410,-1,2,2,25540,9,2024-06-01
4198.8016,57,1,1,1,9130,-1,2,1,13820,1,2024-06-01
2530.4325,57,1,2,1,3870,-1,2,1,13820,1,2024-06-01
4181.3219,210,1,1,2,1530,-1,2,2,47300,6,2024-06-01
4293.863,210,1,2,1,1010,-1,2,2,47300,6,2024-06-01
